icao24;callsign;estDepartureAirport;estArrivalAirport;firstSeen_dt;lastSeen_dt;fecha_salida;hora_salida;dia_semana;mes;anio;duracion_minutos
86803b;SKY638  ;;RJGG;2024-01-29 12:09:41;2024-01-29 12:34:46;2024-01-29;12;Monday;1;2024;25,08333333333333
484f76;HNL25B  ;EHKD;;2024-01-29 12:46:52;2024-01-29 12:59:56;2024-01-29;12;Monday;1;2024;13,066666666666666
48a5eb;TDR818  ;;LDPL;2024-01-29 12:05:41;2024-01-29 12:38:52;2024-01-29;12;Monday;1;2024;33,18333333333333
48ce4c;SPUTM   ;;EPPO;2024-01-29 12:11:07;2024-01-29 12:23:49;2024-01-29;12;Monday;1;2024;12,7
8963b9;FDB17   ;OMDB;;2024-01-29 12:06:04;2024-01-29 12:16:56;2024-01-29;12;Monday;1;2024;10,866666666666667
a3fb63;N356DA  ;KWDR;GA86;2024-01-29 12:28:34;2024-01-29 12:53:21;2024-01-29;12;Monday;1;2024;24,78333333333333
71c532;KAL1330 ;;RKSS;2024-01-29 12:01:16;2024-01-29 12:41:07;2024-01-29;12;Monday;1;2024;39,85
7807be;CSC3659 ;ZGSZ;;2024-01-29 12:06:06;2024-01-29 12:21:11;2024-01-29;12;Monday;1;2024;15,083333333333334
781935;CSN8798 ;;;2024-01-29 12:30:25;2024-01-29 12:41:38;2024-01-29;12;Monday;1;2024;11,216666666666669
780cb9;CCA4033 ;;;2024-01-29 12:32:47;2024-01-29 12:59:55;2024-01-29;12;Monday;1;2024;27,133333333333333
a492c2;N394MK  ;KHUF;36II;2024-01-29 12:23:03;2024-01-29 12:39:29;2024-01-29;12;Monday;1;2024;16,433333333333334
39b326;FHMZG   ;LFOV;LFOT;2024-01-29 12:16:39;2024-01-29 12:55:28;2024-01-29;12;Monday;1;2024;38,81666666666667
71bf30;ABL8826 ;;RKSS;2024-01-29 12:10:06;2024-01-29 12:23:40;2024-01-29;12;Monday;1;2024;13,566666666666666
aa31ed;SKW4959 ;;KDFW;2024-01-29 12:20:47;2024-01-29 12:56:47;2024-01-29;12;Monday;1;2024;36,0
45a18d;BBX609  ;;EKEB;2024-01-29 12:37:39;2024-01-29 12:58:49;2024-01-29;12;Monday;1;2024;21,166666666666668
4caa5c;RYR334P ;LEAL;;2024-01-29 12:43:56;2024-01-29 12:58:59;2024-01-29;12;Monday;1;2024;15,05
a49759;N395WJ  ;KYIP;KIND;2024-01-29 12:20:44;2024-01-29 12:57:13;2024-01-29;12;Monday;1;2024;36,48333333333333
a7b0c4;JBU1093 ;KFLL;;2024-01-29 12:20:41;2024-01-29 12:33:05;2024-01-29;12;Monday;1;2024;12,4
aa80eb;SKW4104 ;KMGM;KATL;2024-01-29 12:08:43;2024-01-29 12:45:20;2024-01-29;12;Monday;1;2024;36,61666666666667
e47fa8;GLO1554 ;;;2024-01-29 12:11:04;2024-01-29 12:22:27;2024-01-29;12;Monday;1;2024;11,383333333333333
34760e;FBY99B  ;LEJO;LEBG;2024-01-29 12:04:33;2024-01-29 12:17:28;2024-01-29;12;Monday;1;2024;12,916666666666666
4cadad;ITY2133 ;LIML;LIRF;2024-01-29 12:11:40;2024-01-29 12:59:09;2024-01-29;12;Monday;1;2024;47,48333333333333
a05ed4;10653   ;EPLY;EPLY;2024-01-29 12:35:08;2024-01-29 12:54:39;2024-01-29;12;Monday;1;2024;19,516666666666666
a67c3a;JBU113  ;KMCO;;2024-01-29 12:05:09;2024-01-29 12:46:29;2024-01-29;12;Monday;1;2024;41,333333333333336
a9eea8;N739YH  ;KMLB;08FD;2024-01-29 12:26:30;2024-01-29 12:52:28;2024-01-29;12;Monday;1;2024;25,966666666666665
0d8234;YV588T  ;SVPR;;2024-01-29 12:37:28;2024-01-29 12:48:51;2024-01-29;12;Monday;1;2024;11,383333333333333
800c15;IGO587  ;;VIDP;2024-01-29 12:03:30;2024-01-29 12:53:49;2024-01-29;12;Monday;1;2024;50,31666666666667
7503db;MXD805  ;WMKK;WSSS;2024-01-29 12:11:13;2024-01-29 12:50:29;2024-01-29;12;Monday;1;2024;39,266666666666666
880450;AIQ3372 ;VTBD;;2024-01-29 12:16:12;2024-01-29 12:43:33;2024-01-29;12;Monday;1;2024;27,35
a16725;N19PP   ;KAZO;MI60;2024-01-29 12:21:09;2024-01-29 12:46:55;2024-01-29;12;Monday;1;2024;25,766666666666666
a23699;N24139  ;KDAN;KDAN;2024-01-29 12:26:24;2024-01-29 12:38:58;2024-01-29;12;Monday;1;2024;12,566666666666666
a2d62c;LAK282  ;KSRQ;KPMP;2024-01-29 12:03:40;2024-01-29 12:35:20;2024-01-29;12;Monday;1;2024;31,666666666666668
a5fb48;N485BC  ;02PR;TJIG;2024-01-29 12:28:39;2024-01-29 12:49:45;2024-01-29;12;Monday;1;2024;21,1
c00f1b;THU860  ;;CYQT;2024-01-29 12:31:12;2024-01-29 12:44:29;2024-01-29;12;Monday;1;2024;13,283333333333331
44064b;OEABF   ;LOAA;LKZN;2024-01-29 12:12:01;2024-01-29 12:29:59;2024-01-29;12;Monday;1;2024;17,966666666666665
3b7529;MAE42   ;LFBG;LFBJ;2024-01-29 12:02:44;2024-01-29 12:53:13;2024-01-29;12;Monday;1;2024;50,48333333333333
78134e;CDG1189 ;;;2024-01-29 12:40:07;2024-01-29 12:57:54;2024-01-29;12;Monday;1;2024;17,783333333333335
780d10;CHH7355 ;ZGSZ;;2024-01-29 12:18:16;2024-01-29 12:31:37;2024-01-29;12;Monday;1;2024;13,35
800c9b;IGO7197 ;VOMM;;2024-01-29 12:01:38;2024-01-29 12:45:13;2024-01-29;12;Monday;1;2024;43,583333333333336
a982d6;CXK436  ;KRDU;KISO;2024-01-29 12:02:04;2024-01-29 12:32:43;2024-01-29;12;Monday;1;2024;30,65
00a11e;LNK789G ;FAOR;;2024-01-29 12:06:17;2024-01-29 12:23:59;2024-01-29;12;Monday;1;2024;17,7
780751;CSZ9212 ;;;2024-01-29 12:29:56;2024-01-29 12:52:25;2024-01-29;12;Monday;1;2024;22,48333333333333
a39ead;TPA4055 ;;SBKP;2024-01-29 12:42:46;2024-01-29 12:57:51;2024-01-29;12;Monday;1;2024;15,083333333333334
acbcfd;N92N    ;KLDJ;KJFK;2024-01-29 12:08:35;2024-01-29 12:44:28;2024-01-29;12;Monday;1;2024;35,88333333333333
acda02;AAL683  ;KRDU;KCLT;2024-01-29 12:19:52;2024-01-29 12:59:24;2024-01-29;12;Monday;1;2024;39,53333333333333
485b1a;PH4S2   ;EHMZ;EHSE;2024-01-29 12:17:46;2024-01-29 12:40:22;2024-01-29;12;Monday;1;2024;22,6
4b1b13;HBKGP   ;LSGL;LSZB;2024-01-29 12:01:33;2024-01-29 12:44:58;2024-01-29;12;Monday;1;2024;43,41666666666666
7c7c9b;VOZ1464 ;;YMML;2024-01-29 12:12:25;2024-01-29 12:44:39;2024-01-29;12;Monday;1;2024;32,233333333333334
01010d;MSR682  ;;;2024-01-29 12:14:37;2024-01-29 12:26:41;2024-01-29;12;Monday;1;2024;12,066666666666666
0d0e5b;VIV4311 ;;;2024-01-29 12:43:50;2024-01-29 12:56:34;2024-01-29;12;Monday;1;2024;12,733333333333333
4401c8;OEVPT   ;LOAN;LOAN;2024-01-29 12:02:51;2024-01-29 12:28:56;2024-01-29;12;Monday;1;2024;26,08333333333333
4951d9;TAP1926 ;LPPT;LPPR;2024-01-29 12:18:34;2024-01-29 12:56:49;2024-01-29;12;Monday;1;2024;38,25
511160;BAV1176 ;;VV01;2024-01-29 12:04:16;2024-01-29 12:23:52;2024-01-29;12;Monday;1;2024;19,6
899130;UIA8626 ;;RCSS;2024-01-29 12:39:36;2024-01-29 12:53:42;2024-01-29;12;Monday;1;2024;14,1
3d37fc;DETLK   ;EDFE;EDFE;2024-01-29 12:01:53;2024-01-29 12:38:32;2024-01-29;12;Monday;1;2024;36,65
4a1e4e;MYJ433  ;LRBS;;2024-01-29 12:34:01;2024-01-29 12:54:40;2024-01-29;12;Monday;1;2024;20,65
a1574d;N186DM  ;;4MO4;2024-01-29 12:33:29;2024-01-29 12:57:54;2024-01-29;12;Monday;1;2024;24,416666666666668
a432c3;N37PM   ;KF45;KVRB;2024-01-29 12:31:40;2024-01-29 12:55:14;2024-01-29;12;Monday;1;2024;23,566666666666663
a69bbf;N525CM  ;;KRBD;2024-01-29 12:30:36;2024-01-29 12:46:32;2024-01-29;12;Monday;1;2024;15,933333333333334
a7538f;EJA571  ;KTEB;KMMU;2024-01-29 12:42:26;2024-01-29 12:58:43;2024-01-29;12;Monday;1;2024;16,283333333333335
a7d682;NLE101  ;89NJ;KDCA;2024-01-29 12:21:55;2024-01-29 12:54:48;2024-01-29;12;Monday;1;2024;32,88333333333333
00c45f;SFR373  ;FAOR;;2024-01-29 12:35:25;2024-01-29 12:54:59;2024-01-29;12;Monday;1;2024;19,566666666666663
4007dc;LOG9AW  ;EGPF;EGQB;2024-01-29 12:32:35;2024-01-29 12:52:09;2024-01-29;12;Monday;1;2024;19,566666666666663
3c66a3;DLH4LV  ;EDDF;EDDN;2024-01-29 12:10:44;2024-01-29 12:33:10;2024-01-29;12;Monday;1;2024;22,433333333333334
a14d8b;N183TS  ;KHSV;KFTY;2024-01-29 12:18:41;2024-01-29 12:50:40;2024-01-29;12;Monday;1;2024;31,98333333333333
e47ed1;GLO2102 ;SBBR;;2024-01-29 12:24:12;2024-01-29 12:51:59;2024-01-29;12;Monday;1;2024;27,78333333333333
e49444;AZU4301 ;;SBKP;2024-01-29 12:34:05;2024-01-29 12:48:57;2024-01-29;12;Monday;1;2024;14,866666666666667
0d06f6;SLI2642 ;MMMX;;2024-01-29 12:36:51;2024-01-29 12:49:36;2024-01-29;12;Monday;1;2024;12,75
0d08f4;VOI5838 ;MMMX;;2024-01-29 12:27:40;2024-01-29 12:39:27;2024-01-29;12;Monday;1;2024;11,783333333333331
440109;OEDNS   ;LOAN;LOAN;2024-01-29 12:04:43;2024-01-29 12:20:57;2024-01-29;12;Monday;1;2024;16,233333333333334
491314;NJE120M ;;LSZH;2024-01-29 12:13:47;2024-01-29 12:41:49;2024-01-29;12;Monday;1;2024;28,03333333333333
3e0fdf;CHX54   ;EDTF;EDTF;2024-01-29 12:35:40;2024-01-29 12:47:10;2024-01-29;12;Monday;1;2024;11,5
8a0650;CTV687  ;;;2024-01-29 12:09:04;2024-01-29 12:31:39;2024-01-29;12;Monday;1;2024;22,58333333333333
a6ec65;VOC4068 ;;MGGT;2024-01-29 12:11:13;2024-01-29 12:42:18;2024-01-29;12;Monday;1;2024;31,08333333333333
45b102;DTR1842 ;;;2024-01-29 12:17:21;2024-01-29 12:42:02;2024-01-29;12;Monday;1;2024;24,683333333333334
48b220;BNI2A   ;;EPPT;2024-01-29 12:34:24;2024-01-29 12:55:56;2024-01-29;12;Monday;1;2024;21,53333333333333
3c6448;DLH77Y  ;EDDF;LOWS;2024-01-29 12:01:22;2024-01-29 12:42:23;2024-01-29;12;Monday;1;2024;41,016666666666666
4c808c;CYF108  ;LCLK;LLBG;2024-01-29 12:11:35;2024-01-29 12:49:56;2024-01-29;12;Monday;1;2024;38,35
78123c;CJX8915 ;;;2024-01-29 12:18:32;2024-01-29 12:34:54;2024-01-29;12;Monday;1;2024;16,366666666666667
a5799f;AWI6051 ;KLSE;KORD;2024-01-29 12:04:19;2024-01-29 12:48:57;2024-01-29;12;Monday;1;2024;44,63333333333333
aae7b3;VXP780  ;KMCO;;2024-01-29 12:05:45;2024-01-29 12:57:13;2024-01-29;12;Monday;1;2024;51,46666666666667
484cc3;KLM1873 ;EHAM;EDDS;2024-01-29 12:07:01;2024-01-29 12:56:22;2024-01-29;12;Monday;1;2024;49,35
880454;AIQ5502 ;VTCC;;2024-01-29 12:17:19;2024-01-29 12:32:59;2024-01-29;12;Monday;1;2024;15,666666666666666
